Name,Pricing,Categories,Ratings,Latest Release,Tool Intro Information,Highlights,Description,Requirements,Support,Additional Information,About Company,Website,Email,Address
Adobe Sign Trusted 5-Star Rated eSignatures from Salesforce customers since 2006,Starting at $34 USD per user per month,Contract Management,-3193,9/7/2021,"Make top-rated Adobe Sign your e-signature solution on Salesforce
 Integrate Adobe Sign with Salesforce to create 100% digital workflows in minutes. Create, send, sign, track and file agreements quickly & securely right in Salesforce. Download the  plug-in, then purchase Adobe Sign or start a free 30-day trial.","Easily and quickly create, send, sign, track and file agreements without leaving Salesforce with our Lightning-Ready integration built on the Salesforce Customer 360 platform. Works with Sales Cloud, Community Cloud, Service Cloud, and more.

Improve data accuracy, reduce errors, and enhance the ability to audit contracts and agreements via merge mapping and data mapping--no coding required. By automating end-to-end approval processes, you'll improve compliance, reduce risk, and save money.

Digitize more workflows more quickly. Deliver great signing experiences for customers, partners, Salesforce admins, and employees who send documents for signing or approval and need to know agreement status. It's quick to set up and easy to use.","A COMPLETE E-SIGNATURE SOLUTION FOR SALESFORCE##•	Adobe Sign boosts  productivity, reduces costs, improves legal compliance and can be deployed in minutes.##•	Close deals faster on any device by moving to fully automated proposal, quote,##and contract processes##•	Reduce your business and legal risk with more accurate proposal, quote, and contract generation##•	Improve signing experiences for everyone, including your own teams##  ·	Easily customize, no back end coding required##  ·	Merge Salesforce data into documents, map signer data back to Salesforce ##  ·	Track contracts in real time; get Chatter updates when deals are viewed and signed##  ·	Automatically store and file signed documents directly in Salesforce ##  ·     Easily configure Adobe Sign in workflows, including with Process Builder##  ·	Work and close deals in any Salesforce-supported language##  ·	Integrate seamlessly with CPQ, CLM, and document generation apps####Leading organizations worldwide use Adobe Sign for fast, secure, and mobile e-signatures. Get a free 30-day trial at https://acrobat.adobe.com/us/en/documentcloud/integrations/salesforce/free-trial.html","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements.####No account or license required for e-signers -- accounts / licenses only required for senders.","800-833-6687
Knowledge Base
https://helpx.adobe.com/support/sign.html","Package Name
Adobe Sign
Version
v23.14 / 23.14.0
Listed On
10/6/2006
Latest Release
9/7/2021
Languages
Dutch,English,Finnish,French,German,Danish,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese","Relied on by Facebook, Google, Dell, Pandora, Twitter, Qualcomm, Taleo, British Telecom, Time Warner and many other leading companies in the Fortune 500, Adobe Sign is the electronic signature solution of choice among both users and reviewers. These web-based solutions make it easy for sales, legal, procurement, HR, and other professionals to securely track, sign and store documents. From Adobe, the established leader in digital, cross-platform document creation, tracking and management.",https://acrobat.adobe.com/us/en/documentcloud/integrations/salesforce.html,,"San Jose, CA, United States"
Zoom,Free,Chat & Web Conferencing,-43,7/25/2021,"Close business faster with video, voice, and webinars
 Use Zoom’s native integration with Salesforce to seamlessly meet with your customers, efficiently manage your sales calls, and scale webinars","Seamlessly start a Zoom Meeting and track it in your Salesforce activity history.

Easily manage your inbound and outbound sales calls and sync call notes automatically when using the Zoom Phone soft dialer.

Automate syncing Zoom Webinar attendee information and webinar participation to contacts.","Meet Happy using Zoom’s native integration with Salesforce! Supercharge your productivity by leveraging Zoom Meetings, Zoom Phone, or Zoom Webinars from your Salesforce environment.####With a few clicks, you can start a Zoom Meeting with your contacts and record your conversation in your Salesforce activity history. Schedule or start a Zoom Webinar, add leads and contacts as registrants and track participation as a part of that contacts details. Additionally, use the Zoom Phone dialer to start and manage your Zoom Phone calls, automatically log call activity, and pop contacts directly from the Salesforce interface into your Zoom Phone.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements","+1.888.799.9666 ext 2
Ëmail
support@zoom.us
Knowledge Base
https://support.zoom.us","Package Name
Zoom
Version
zoom app / 3.17.0
Listed On
12/20/2016
Latest Release
7/26/2021
Languages
English","Zoom is the leader in modern enterprise video communications, with an easy, reliable cloud platform for video and audio conferencing, collaboration, chat, and webinars across mobile devices, desktops, telephones, and room systems. Zoom Rooms is the original software-based conference room solution used around the world in board, conference, huddle, and training rooms, as well as executive offices and classrooms. Founded in 2011, Zoom helps businesses and organizations bring their teams together in a frictionless environment to get more done. Zoom is headquartered in San Jose, California.",https://www.zoom.us,info@zoom.us,"San Jose, CA"
List Editor,Free,Admin & Developer Tools,0,7/1/2021,"Bulk Update Records on the List !!
 You can add and edit records on the list at once with this component.##This greatly reduces the waiting time for input and confirmation process when you continuously input data.","You can install the component wherever you want, Application Pages/Record Pages in Internal Org and Standard Pages/Object Pages in Community.

Responsive design for even mobile use.##Provides a comfortable user experience on the community.

Branding feature by individual components is available, such as Text Color, Background Color, and Color of Even-number Rows.","Available on Internal Org and Community !##Responsive design for comfortable use on mobile.##Now you can do more branding and advanced record search for multiple text fields, unlike the standard list view!##You can save waiting time for input and confirmation process by creating, copying and deleting records at once.######◤◢◤◢◤◢ リストに表示されているレコードを一括編集！！ ◣◥◣◥◣◥##リストに表示されているレコードを一括で追加・編集ができるコンポーネントです。##入力の待機時間や続けて入力する際の確認工数を大幅に削減できます。####組織内のAppページ/レコードページ、コミュニティ内の標準ページ/オブジェクトページどこでも設置可能。####レスポンシブデザインでモバイルでの利用も可能。##コミュニティ上での快適な操作性を提供。######テキストカラー、背景色、テーブルの偶数行のカラー変更など、コンポーネント個別でブランディングが可能。####組織内とコミュニティに設置可能！##レスポシブデザインで、コミュニティのモバイル操作も快適に行えます。##標準のリストビューでは難しかった、ブランディングや複数のテキスト項目に対する高度なレコード検索などが実現出来ます！！##新規作成・レコードのコピー・削除を一括で行い、入力の待機時間や工数を削減できます。","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
List Editor
Version
Managed / 1.6.0
Listed On
8/6/2021
Latest Release
7/2/2021
Languages
Japanese","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
Mass Delete,Free,Admin & Developer Tools,-69,1/10/2019,"Mass delete standard fields from a list view.
 A set of custom list buttons that you can add to your standard list views or related lists. Users can select any number of records and delete all of them with a single click.","Great tool for bulk deletion!

Select any number of records and delete all of them with a single click.","Contained in this package are 10 custom list buttons. Simply add them to the appropriate list view or related list on a page layout. Buttons are available for the following standard objects:  campaigns, leads, accounts, contacts, opportunities, cases, contracts, solutions, products, and assets. Instructions for adding custom list buttons to list views and related lists are included in a document folder named ""Mass Delete.""","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
API Access",,"Package Name
Lightning Mass Delete
Version
Lightning Mass Delete / 1.0.0
Listed On
3/19/2007
Latest Release
1/10/2019
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
Multi-Factor Authentication Dashboard,Free,Dashboards & Reports,-5,9/29/2020,"Monitor your multi-factor authentication (MFA) implementation
 A comprehensive dashboard for monitoring, auditing, and reporting on multi-factor authentication (MFA) adoption and usage in your Salesforce org.",,"A comprehensive dashboard for monitoring and reporting on multi-factor authentication (MFA) adoption and usage in your Salesforce org.####This package includes the following features: ####* MFA view: See who has registered identity verification methods, and perform actions like disconnecting methods and generating temporary verification codes.##* Dashboard and Reports: Audit verification activities in your org, and track verification method registration progress.##* MFA Registration Email Template: Integrate this template with the Mass User Email tool to create an MFA registration campaign for your rollout.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
MFA Dashboard
Version
Winter '21 / 1.7.0
Listed On
10/11/2016
Latest Release
9/29/2020
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
Scan to Salesforce/Pardot – Business card scanner for iOS & Android,Free,Productivity,-67,8/5/2021,"99% accurate OCR scanning, no more manual entry, rich Lead data, and free!
 A simply powerful app your organization and teams will love. Quick setup for admin. iOS and Android app for your users. Scan up to 4 business cards at once. Validate data. Zap new Leads, Contacts, and Accounts to Salesforce. Trigger a Pardot campaign.","Give Your Sales Team More Time to Sell####‣ Cut lead time and end manual entry##‣ Scan up to 4 cards at once, send Leads/Contacts/Accounts to SFDC in a few taps##‣ 2 hrs/month saved by average user vs. manual input

Store Vital Data to Empower Your Org’s Marketing####‣ Name, company, email, tel, etc. – 1st-party data for Marketing to take action##‣ Validate and split addresses based on Google Maps API##‣ Quick package install in your org

Top-class Data Accuracy, Security, and Support####‣ Free OCR scanning with 99% accuracy##‣ TLS protection, your data is all yours##‣ Customer support, online guidance – we’re with you all the way","• Need a simple business card scanner app for Salesforce? You found it.####• An app your org & teams can use with minimal onboarding? Here it is.####• Data security from a reliable software provider? We’ve been at this since 2007 and we’re publicly traded.####• Tight budget? It’s 100% free, all of it.####--##“I can now upload business card data into Salesforce in a fraction of the time I used to spend,” says Teddy Elsenbaumer of Axia Payments##--####Scan to Salesforce/Pardot makes your work life easier. Users scan quickly and accurately. Transfer Leads & Contacts in a few taps. Get a host of added features.####1. Install the package in your SFDC org.##2. Roll it out and have users download the mobile app.##3. In a few minutes, they’ll be scanning.####Main features:####• Scan up to 4 cards at once##• Scan saved images of cards in your phone##• Validate & separate addresses##• Batch apply field settings##• Send Leads & Contacts to SFDC, 1 at a time or in batches##• TLS security for data transmission##• Save card images (front and back)##• Keep cards on your device and secure it with biometric authentication####And if you need a hand, our support’s here for you. We’re real people. :)","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements","Knowledge Base
https://scantosalesforce.zendesk.com/hc/en-us","Package Name
Scan_to_Salesforce
Version
20210803-1600 / 1.50.0
Listed On
11/26/2018
Latest Release
8/5/2021
Languages
English,Japanese","Since 2007, Sansan, Inc. has been a pioneer in business card-based contact management solutions. The company develops proprietary image recognition technology and deploys it across a suite of cloud-based products. Its namesake Sansan B2B platform has 7,000+ corporate customers worldwide, while its individual user app Eight boasts the largest business social network in Japan, with 3 million users.####Scan to Salesforce is a streamlined Salesforce integration designed specifically for the global market. The app’s global team is laser-focused on helping teams work more efficiently, freeing up time to focus on what matters.",https://www.corp-sansan.com,,"5-52-2 Jingumae, Shibuya-ku, Tokyo, Japan"
Field Dumper - Extract Data Model to Excel,Free,Admin & Developer Tools,-81,3/30/2020,"Reduce your clicks, save some time - dump your data model to Excel!
 Produce an Excel document that lists out your data model - showing field level information for your Salesforce objects.  Supports extract of multiple custom and standard objects to a single workbook.","** NEW 2020 - PRO VERSION##Check out 'Field Dump Pro', the big brother version of this app.##It extracts more metadata including the Description field and has many enhancements and additions.##Available for free 15 day trial.  [see Link below] **

Select one or more custom or standard object to extract.  An Excel spreadsheet is generated.  Each object is presented on a separate Excel tab in the generated workbook.  Field information is shown as a row in the spreadsheet.

The following field level information is listed: Name, API Name, Type (text, datetime, lookup etc), Formula Text, Help Text, Size and more.####Great for easy review, analysis, audit, comparison and sharing offline.","This simple app completes an export of field definitions into an Excel spreadsheet.##-The app is FREE!##-One spreadsheet can contain a complete object / field extract of your org.##-Multiple objects can be exported at the same time.##-Each object and its fields are presented on a separate spreadsheet tab.##-Caters for both Custom and Standard Objects.##-Extracts a range of useful paramaters for Custom and Standard Fields.##-It is fully functional - it is not locked, limited or restricted##-Fully security reviewed by Salesforce####Benefits:##FieldDump Provides an extract that:##-Saves time and grey hair - manually compiling, navigating or reviewing directly inside Salesforce is not quick, simple or straightforward.##-Can be used for easy review and sharing with others outside of Salesforce.##-Helpful tool to help with common (and not-so common) Admin and Developer Tasks:##--Schema Review and sharing##--Provide information for audit, design review and documentation##--Is a useful snapshot in time##--Scan formulas easily when making changes to identify dependencies##--Complete Cross object field comparisons##--Use output to compare two different orgs##--Review Picklist values","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements","Ëmail
supportfielddump@p0p.co.uk
Knowledge Base
https://www.p0p.co.uk/fielddump","Package Name
FieldDump
Version
FDApr2020 / 1.41.0
Listed On
11/22/2017
Latest Release
3/30/2020
Languages
English",,https://p0p.co.uk,admin@p0p.co.uk,UK
Recruiting App,Free,Human Resources,-13,1/22/2019,"Recruiting
 Recruiting for AppExchange provides a basic framework for tracking open jobs and candidate information, including work experience, preferences, and comments from interviewers.","Tracks internal requests for headcount as they move through the approval process

Analyzes candidate demographics to identify new-hire recruiting patterns

Monitors the number of applicants for each open position and the status of each of those applicants","From the posting of a new position through the interviews aimed at filling it, Recruiting lets you track your company’s job postings on employment websites and evaluate job applications. It gives you a single location from which to manage the scheduling of interviews, and you’ll be able to easily see what kind of progress you’re making toward filling a particular position. ####Recruiting gives hiring managers and recruiters at small to medium-sized companies one place they can go to monitor the candidate pipeline and see listings of positions and candidates. By deploying it, your company can extend its salesforce.com solution to gather measurable data to better target its recruiting efforts.","Salesforce Edition
Enterprise, Unlimited, Force.com, Performance
Other System Requirements
No additional system requirements",,"Package Name
Recruiting app
Version
Spring 2019 / 1.4.0
Listed On
1/8/2006
Latest Release
1/22/2019
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
CMS Content Type Manager,Free,Productivity,-10,6/14/2021,"Manage custom CMS content types tailored to your needs in a breeze!
 The CMS Content Type Manager gives you a convenient point-and-click way to manage all your content types right inside Lightning Experience.","Manage your CMS content types declaratively

Quickly clone, modify and test a content type before using it in production

⭐   NEW ⭐ : Edit your existing custom content types!","Salesforce CMS (Content Management System) operates on the concept of content types, or a templated block of content with common metadata. Salesforce provides a default News content type, and Salesforce customers can create their own custom content types to model the web content they are creating. Content type creation is done programmatically, using the Metadata API.####The CMS Content Type Manager allows you to delete, edit, create and clone custom CMS content types through an intuitive graphical UI based in Salesforce Lightning Experience.####Guidance about CMS content types and learning resources are embedded right on the pages you use to create content types, alongside handy links to CMS documentation and other content.","Salesforce Edition
Enterprise, Unlimited, Developer, Performance, Essentials
Other System Requirements
Salesforce Content Management System (CMS)",,"Package Name
CMS Content Type Manager
Version
Summer 2021 / 1.3.0
Listed On
4/14/2020
Latest Release
6/14/2021
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
Milestones PM+ Free Edition - Customizable Project Management,Free,Project Management,-40,9/8/2021,"Cross-industry, native, project and process management for Salesforce
 Highly customizable, 100% native project management app. Track progress and status of Programs, Projects, Milestones, Tasks. Complete org access, unlimited users, for all Salesforce Editions – download it free!","Customizable Project Management##Milestones PM+ is a 100% Salesforce native project management tool. Custom settings easily give you total control of Programs, Projects, Milestones, Tasks, and reports – right within your company's CRM.

Automatic Project Creation from Templates##Simplify project management, eliminate repetitive manual processes. Automatically create projects in Salesforce by importing a template or using a copy-and-paste trigger from any object (e.g. opportunity).

Free Basic Project Management for All!##Complete org access for unlimited users of all Salesforce Editions, including Gantt charts and Salesforce mobile app, optimized to work on-the-go. Easy customization for unique use cases.","Has COVID-19 forced your employees to work remotely? Milestones PM+ can help the transition from in-office to at-home.##•Visibility to productivity with Time Tracking##•Roadmap planning to explore alternatives for standard operations####Passage Technology partnered with Salesforce in 2012 to provide a managed, supported version of Milestones PM (Salesforce Labs app) and have continued to add features and functionality to the package. Milestones PM+ is a Salesforce project management app that supports any business model or project type you may have.####Free features:##•Create project templates for various project types##•Program, Project, and Milestone level Gantt charts##•Project calendar##•At-a-glance summary view of multiple Projects##•Dependencies and scheduling of Milestones and Tasks##•Automatic date shift cascading##•Project configuration button####Additional premium features:##•Interactive Gantt Chart##•Manage project plan page##•Salesforce event and task sync##•Resource assignment solution##•Time tracking on any object##•Alerts/Notifications##•Project creation button##•Advanced project templates##•Milestone & task communication templates##•Prioritized support response time","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
No additional system requirements","Ëmail
support@passagetech.com
Knowledge Base
https://www.passagetechnology.com/milestones-pm-plus-training","Package Name
Milestones PM Plus
Version
Milestones PM+ v11.8 / 11.8.0
Listed On
7/16/2012
Latest Release
9/8/2021
Languages
English","Since 2008, Passage Technology has been the trusted provider of easy-to-use native Salesforce apps and high-quality development services, empowering over 27,000 customers with administration and project management tools, as well as custom business solutions. Milestones PM+ and Rollup Helper as our top products, our apps are Lookup Helper and Storage Helper of Helper Suite and, most recently, Data Analysis Helper and Prioritization Helper.####Passage Technology is a registered Salesforce Consulting Partner, an original AppExchange Partner, and an Inc. 5000 company headquartered in Lake Forest, Illinois.",https://www.passagetechnology.com,sales@passagetech.com,"Lake Forest, Illinois, United States"
Magic Mover for Notes And Attachments to Lightning Experience,Free,Admin & Developer Tools,-238,11/20/2018,"Get ready for Lightning Experience by migrating your attachments and notes
 Install this app to do bulk conversions of attachments to Salesforce Files, and classic notes to enhanced notes.  Before you install this package, please check out the User Guide, as it contains important installation instructions.","Convert attachments to files because files are optimized for Lightning Experience and provide additional capabilities beyond attachments, including the ability to relate files to multiple records, track multiple versions, and view file previews.

Convert classic notes to enhanced notes, which are optimized for Lightning Experience and provide additional capabilities beyond classic notes, such as the ability to relate a note to multiple records, and track multiple versions

If you have comments or feedback, please reach out to us in this Success Community Group: https://success.salesforce.com/_ui/core/chatter/groups/GroupProfilePage?g=0F93A000000LgpS","This package includes 3 tools: ####* Admins use the Attachments to Files tool to do bulk conversion of all the attachments in an org.##* Admins use the Notes Conversion tool to do bulk conversion of all the classic notes in an org.##* Admins use the Update Page Layouts tools to update layouts to use the new related lists exclusively.######Conversion of attachments and notes is supported for custom objects and the following standard objects: Account, Asset, Campaign, Case, Contact, Contract, Lead, Opportunity, Product, Quote, and Solution.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
Magic Mover for Notes and Attachments
Version
V415 / 4.15.0
Listed On
7/10/2017
Latest Release
11/20/2018
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
Mass Edit + Mass Update + Mass Delete,Free,Admin & Developer Tools,-195,10/3/2017,"Standard and Custom Objects
 1: Mass Update + Mass Edit + Mass Delete Leads, Accounts, Contacts,  Opportunities records from the List view, Search View or Related Lists.####2: Extend Mass Edit + Update + Delete to work with your Custom Objects and Custom Fields.","Search and Mass Edit/Update/Delete multiple leads, accounts, contacts, opportunities and custom objects.","3: Post Install Setup Instructions:  ##Step  1: Add Mass Update, Mass Edit and Mass Delete  buttons  to  Leads, Accounts, Contacts and Opportunities list view: ##Goto Setup | Customize |  Leads/Accounts/Contacts/Opportunities  | Search Layouts | List View | Edit the view | Add Buttons. ####4: Customization Instructions:  ##Extend Mass Edit/Update to work with your custom objects by creating your own ""Mass Edit"" and ""Mass Update"" list view buttons. Reuse the code behind our Mass Edit/Update buttons.####Step 1: Goto Setup | Leads/Contacts/Accounts/Opportunities | Button and links | Goto Mass Edit or Mass Update button and copy our code.####Step 2: Goto your Custom Object | Create a Mass Edit/Update Button (List view & on click javascript type) and paste our code.####Step 3: Update the code to work with your custom objects/custom field.####5: Support and Feature Request: Please post your support questions and feature requests: https://success.salesforce.com/_ui/core/chatter/groups/GroupProfilePage?g=0F9300000001oYD","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements","Knowledge Base
https://success.salesforce.com/_ui/core/chatter/groups/GroupProfilePage?g=0F9300000001oYD","Package Name
ActionHub
Version
ActionHub3.3 / 3.3.0
Listed On
1/30/2011
Latest Release
10/3/2017
Languages
English",,http://www.VersatileCapitalist.com,sales@versatilecapitalist.com,"Vancouver, BC, Canada"
Amazon Connect CTI Adapter: CTI | Contact Center | IVR | ACD | Call Recording,Free,Telephony,-35,8/26/2021,"Bring the Power of Intelligent CTI to Salesforce Service Cloud
 The newly updated Amazon Connect CTI Adapter v5 makes it easy to use your Amazon Connect contact center with Salesforce to deliver engaging service with lower cost at any scale. Amazon Connect is cloud-based, self-service, and can be set up in minutes.","Setting up Amazon Connect is easy. With only a few clicks in the AWS Management Console, agents can take calls within minutes. The drag and drop Contact Flow Editor allows you to create effective and efficient customer interactions without any coding.

There is no infrastructure to deploy or manage, so you can scale your Amazon Connect contact center up or down, onboarding up to tens of thousands of agents in response to business cycles.

Amazon Connect runs on AWS proven infrastructure operating in 77 Availability Zones within 24 geographic regions, making it more highly available, fault tolerant and scalable than if a contact center solution was run from a single data center.","App by Amazon Web Services ####As an on-demand service, you pay for Amazon Connect usage by the minute with no long-term commitments or upfront charges. There is no minimum monthly fee. You are charged based on the number of minutes you use Amazon Connect to engage with your end customers, at the specified per minute rate. Pricing is not based on capacity, agent seats, or maintenance.####The integration of Amazon Connect and Salesforce Service Cloud combines the technology that powers Amazon.com’s global contact centers with the world’s #1 CRM platform.  The built-in joint capabilities of Amazon Connect and Salesforce Service Cloud provide everything you need to build a complete, personalized experience through a single integration.  Amazon Web Services and Salesforce provide scale and a pace of innovation to help you grow and evolve your contact center solution with your business’ and your customers’ needs.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements","Knowledge Base
https://aws.amazon.com/documentation/connect/","Package Name
Amazon Connect - Universal Package
Version
August 2021 / 5.16.0
Listed On
8/24/2017
Latest Release
8/26/2021
Languages
English,French,German,Italian,Japanese,Korean,Portuguese,Simplified Chinese,Spanish,Traditional Chinese","For over 12 years, Amazon Web Services has been the world’s most comprehensive and broadly adopted cloud platform. AWS offers over 125 fully featured services for compute, storage, databases, networking, analytics, machine learning and artificial intelligence (AI), Internet of Things (IoT), mobile, security, hybrid, virtual and augmented reality (VR and AR), media, and application development, deployment, and management from 55 Availability Zones (AZs) within 18 geographic regions and one Local Region around the world, spanning the U.S., Australia, Brazil, Canada, China, France, Germany, India, Ireland, Japan, Korea, Singapore, and the UK. AWS services are trusted by millions of active customers around the world—including the fastest-growing startups, largest enterprises, and leading government agencies—to power their infrastructure, make them more agile, and lower costs. To learn more about AWS, visit aws.amazon.com.",https://aws.amazon.com,,"Seattle, Washington"
Graphics Pack,Free,Admin & Developer Tools,-64,10/3/2016,"Graphics for Image Formulas, Tabs and Visualforce pages
 'Graphics Pack' contains hundreds of images / icons that can be used in salesforce applications for tabs, image formulas, and Visualforce pages","Additional graphics for image formulas

Additional graphics for tabs

Additional graphics for Visualforce pages","Graphics pack contains images / icons in sizes of 16x16 and 32x32 pixels.####1) The 32x32 pixel images can be used for tabs and in Visualforce pages##2) The 16x16 pixel images can be used for image formula fields and in Visualforce pages####Image / icon examples include animals, sports, finance, vacation, monsters, robots, Halloween and desktop icons.####Have a look at ""View Screenshots"" to see examples of images being used in image formulas and some of the other graphics available for use.####This package would have not been possible without the images and work from -####FamFamFam - http://www.famfamfam.com/##IconShock - http://www.iconshock.com/##Tango Desktop Project - http://tango.freedesktop.org/Tango_Desktop_Project##VisualPharm - http://www.visualpharm.com/##Fatcow - http://www.fatcow.com/","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
Graphics Pack
Version
Winter '17 / 1.4.0
Listed On
6/13/2011
Latest Release
10/4/2016
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
CloudAnswers Report Sender,Free,Admin & Developer Tools,-39,5/7/2021,"Schedule unlimited Salesforce reports to be emailed to anyone
 Report Sender is the go-to application to download and share Salesforce reports with SF and non-SF users.##Combine rich text, customized design, and reports with data from Salesforce. Whether you want to generate mass reports or a single report to share.","✔ Share reports internally and externally, also to non-salesforce users.

✔ Download the reports in CSV format and send it as a customize email message.

✔ Schedule reports daily, weekly, monthly. You choose the schedule.","Having problems sending data to top management, distributors, operations, partners, clients, or any other list of key recipients outside of Salesforce? Frustrated with the Lightning report subscriptions?## ##Report Sender is a 100% free application that allows you to select any of your Salesforce reports to be sent as a CSV file to internal and an external email address on a regular schedule. ##Reduce the number of reports and maintenance requirements associated with distributing the same or similar reports to hundreds of different recipients.####We take your security seriously!##Report Sender uses native Salesforce to send the reports so your data never hits our servers. The reports are sent using the visibility of the user that scheduled them, so you know exactly what data the reports will contain.#### ##Install it now and start sending reports in minutes. Just choose any existing Salesforce report, set your schedule, define the email content, test it, and you're done.## ##Simplify and accelerate business processes.####Looking for more options?##Check the Report Sender Plus ##https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000000pvspEAA","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements","Ëmail
reportsender@cloudanswers.com
Knowledge Base
https://help.cloudanswers.com/en/collections/1885035-report-sender?utm_source=appexchange&amp;utm_medium=RS_app_page&amp;utm_campaign=RS&amp;utm_content=knowledge_base1","Package Name
CloudAnswers Report Sender
Version
May 2021 v1.61 / 1.61.0
Listed On
3/1/2019
Latest Release
5/7/2021
Languages
English","We combine decades of Salesforce experience with Java, Python, Node, and other technologies to give you innovative and reliable applications to run your business. Check out all of our apps on the AppExchange! We also offer custom development and virtual Salesforce administration services.",https://www.cloudanswers.com,help@cloudanswers.com,"Boston, Massachusetts, USA"
